step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,max_trunc,total_trunc
0,0.0,-17.379071205417894,0.0,-7.327471962526033e-15,-0.19255658413583124,64,0.0,0.0
1,0.05,-17.379071205418015,-1.2079226507921703e-13,-6.439293542825908e-15,-0.1933938576395261,106,0.0,0.0
2,0.1,-17.379071205418505,-6.110667527536862e-13,-3.219646771412954e-14,-0.19588069082794105,111,0.0,0.0
3,0.15000000000000002,-17.379071205418807,-9.130474154517287e-13,-4.374278717023117e-14,-0.19994299718203035,117,2.2204460492502554e-16,2.2204460492502554e-16
4,0.2,-17.379071205419226,-1.3322676295501878e-12,-6.106226635438361e-14,-0.20546018132769317,120,0.0,0.0
5,0.25,-17.379071205419688,-1.794120407794253e-12,-8.01581023779363e-14,-0.21226935135424707,127,0.0,0.0
6,0.30000000000000004,-17.37907120541982,-1.9255708139098715e-12,-8.260059303211165e-14,-0.22017099764912088,128,0.0,0.0
7,0.35000000000000003,-17.379071205420072,-2.177813485104707e-12,-8.570921750106208e-14,-0.22893592683791428,128,2.220446049250134e-16,4.440892098500265e-16
8,0.4,-17.37907120542072,-2.8244073746463982e-12,-1.127986593019159e-13,-0.23831319010039617,128,2.2204460492500957e-16,2.2204460492500957e-16
9,0.45,-17.37907120542112,-3.225864020350855e-12,-1.2967404927621828e-13,-0.24803870380546986,128,2.2204460492500537e-16,4.440892098500082e-16
10,0.5,-17.37907120542146,-3.566924533515703e-12,-1.389999226830696e-13,-0.2578442297134143,128,2.2204460492500286e-16,6.661338147750056e-16
11,0.55,-17.379071205421596,-3.701927653310122e-12,-1.503241975342462e-13,-0.26746636379966277,128,4.4408920984999734e-16,1.776356839399991e-15
12,0.6000000000000001,-17.379071205421948,-4.0536463075113716e-12,-1.6275869541004795e-13,-0.27665517872423795,128,4.4408920984999803e-16,2.4424906541749752e-15
13,0.65,-17.37907120542229,-4.39470682067622e-12,-1.7430501486614958e-13,-0.28518217652742195,128,6.6613381477498e-16,5.9952043329748356e-15
14,0.7000000000000001,-17.379071205422896,-5.002220859751105e-12,-2.020605904817785e-13,-0.2928472352404569,128,6.661338147749755e-16,8.659739592074593e-15
15,0.75,-17.37907120542335,-5.4569682106375694e-12,-2.2803980925800715e-13,-0.29948427620318674,128,6.66133814774959e-16,6.661338147749538e-15
16,0.8,-17.379071205423447,-5.552891479965183e-12,-2.2426505097428162e-13,-0.30496543618888006,128,6.661338147749431e-16,6.217248937899457e-15
17,0.8500000000000001,-17.379071205423838,-5.943689984633238e-12,-2.389199948993337e-13,-0.30920359751207743,128,6.661338147749465e-16,3.996802888649655e-15
18,0.9,-17.379071205423926,-6.0325078266032506e-12,-2.3714363805993344e-13,-0.3121532072433263,128,8.881784196999152e-16,3.996802888649604e-15
