step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,max_trunc,total_trunc
0,0.0,-17.379071205417894,0.0,-7.327471962526033e-15,-0.19255658413583124,64,0.0,0.0
1,0.05,-17.37907120541805,-1.5631940186722204e-13,-1.1102230246251565e-14,-0.19339385763392022,96,2.2204460492502815e-16,2.2204460492502815e-16
2,0.1,-17.379071205418224,-3.304023721284466e-13,-1.6653345369377348e-14,-0.19588069079350565,96,2.220446049250277e-16,1.3322676295501642e-15
3,0.15000000000000002,-17.379071205418327,-4.334310688136611e-13,-2.220446049250313e-14,-0.19994299706446092,96,2.2204460492502746e-16,8.881784197001037e-16
4,0.2,-17.379071205418555,-6.608047442568932e-13,-2.9531932455029164e-14,-0.20546018102803523,96,4.4408920985005216e-16,2.8865798640253344e-15
5,0.25,-17.379071205418875,-9.805489753489383e-13,-4.418687638008123e-14,-0.21226935075438128,96,6.661338147750714e-16,5.7731597280505884e-15
6,0.30000000000000004,-17.379071205419542,-1.6484591469634324e-12,-7.016609515630989e-14,-0.22017099659878647,96,8.881784197000818e-16,6.217248937900515e-15
7,0.35000000000000003,-17.379071205419805,-1.9113599591946695e-12,-7.815970093361102e-14,-0.22893592517999897,96,6.661338147750484e-16,6.661338147750464e-15
8,0.4,-17.379071205419958,-2.064126647383091e-12,-7.949196856316121e-14,-0.2383131876934295,96,6.661338147750364e-16,5.329070518200292e-15
9,0.45,-17.379071205420097,-2.2026824808563106e-12,-8.43769498715119e-14,-0.24803870053774632,96,6.661338147750466e-16,4.440892098500304e-15
10,0.5,-17.379071205420523,-2.6290081223123707e-12,-1.028066520802895e-13,-0.2578442255016357,96,6.661338147750311e-16,4.218847493575212e-15
11,0.55,-17.379071205420733,-2.8386182293616002e-12,-1.1191048088221578e-13,-0.26746635857964873,96,6.66133814775025e-16,5.995204332975192e-15
12,0.6000000000000001,-17.37907120542076,-2.8670399387920042e-12,-1.0813572259849025e-13,-0.27665517247568094,96,6.661338147750241e-16,1.998401444325069e-15
13,0.65,-17.379071205420864,-2.9700686354772188e-12,-1.0835776720341528e-13,-0.28518216923627693,96,6.661338147750206e-16,3.3306690738751064e-15
14,0.7000000000000001,-17.379071205421152,-3.2578384434600594e-12,-1.1834977442504169e-13,-0.2928472268936878,96,6.661338147750137e-16,4.884981308350118e-15
15,0.75,-17.379071205421372,-3.4781066915456904e-12,-1.2168044349891716e-13,-0.2994842668054411,96,8.881784197000195e-16,6.661338147750137e-15
16,0.8,-17.379071205421404,-3.510081114654895e-12,-1.1324274851176597e-13,-0.3049654257707584,96,1.110223024625021e-15,9.325873406850179e-15
17,0.8500000000000001,-17.379071205421486,-3.5917935292673064e-12,-1.1168843627729075e-13,-0.30920358612430787,96,1.5543122344750543e-15,1.4432899320125483e-14
18,0.9,-17.37907120542152,-3.6273206660553114e-12,-9.969802761133906e-14,-0.3121531949693415,96,1.9984014443250688e-15,2.0428103653100678e-14
19,0.9500000000000001,-17.37907120542108,-3.1867841698840493e-12,-5.928590951498336e-14,-0.3138093861182006,96,3.774758283725289e-15,3.1752378504276965e-14
20,1.0,-17.37907120542047,-2.575717417130363e-12,5.10702591327572e-15,-0.31420550072310754,96,5.3290705182006275e-15,5.218048215738078e-14
21,1.05,-17.379071205419788,-1.893596390800667e-12,8.004708007547379e-14,-0.31340918000695905,96,7.216449660063876e-15,7.915890165577638e-14
22,1.1,-17.379071205418885,-9.912071163853398e-13,1.908473379330644e-13,-0.3115172712680185,96,1.443289932012925e-14,1.2956302697377225e-13
23,1.1500000000000001,-17.379071205416793,1.1013412404281553e-12,3.82804898890754e-13,-0.3086498420510007,96,1.8207657603856742e-14,1.8252066524842764e-13
24,1.2000000000000002,-17.379071205414427,3.467448550509289e-12,6.152856002472618e-13,-0.30494363383843853,96,2.2204460492515254e-14,2.4058532943639057e-13
25,1.25,-17.37907120541071,7.183587058534613e-12,9.756639940405876e-13,-0.3005453034860192,96,3.375077994863364e-14,3.527178549236885e-13
26,1.3,-17.379071205405758,1.2136069926782511e-11,1.4662715486224442e-12,-0.2956047969945576,96,4.5852210917079247e-14,5.020428517361004e-13
27,1.35,-17.379071205398628,1.9266366280135117e-11,2.1438406605511773e-12,-0.2902691766179795,96,5.773159728062253e-14,6.772360450225527e-13
28,1.4000000000000001,-17.37907120538885,2.9043434324194095e-11,3.062661235730957e-12,-0.2846771806621076,96,7.915890165599905e-14,9.445777493535215e-13
29,1.4500000000000002,-17.379071205374153,4.374101081339177e-11,4.417466392681035e-12,-0.2789547387580336,96,1.2601031329547024e-13,1.3733458814663934e-12
30,1.5,-17.37907120535317,6.472333780038753e-11,6.300626687050226e-12,-0.27321159800935974,96,1.660893644848996e-13,1.883937450496411e-12
31,1.55,-17.379071205324674,9.321965421804634e-11,8.832157227800508e-12,-0.26753914198512924,96,2.103872631682003e-13,2.5471846854165743e-12
32,1.6,-17.379071205280702,1.3719159142056014e-10,1.2668088800182886e-11,-0.26200941009326256,96,3.2496227931160247e-13,3.851252650163182e-12
33,1.6500000000000001,-17.37907120521323,2.0466472960833926e-10,1.8506196575174272e-11,-0.25667525432787003,96,4.973799150403555e-13,5.837441641266579e-12
34,1.7000000000000002,-17.379071205118073,2.998206127813319e-10,2.6796120877747853e-11,-0.251571508185865,96,7.057687767713068e-13,8.290146347364225e-12
35,1.75,-17.37907120498391,4.33985292147554e-10,3.846689633490996e-11,-0.24671699233510694,96,9.78661596241197e-13,1.1674106126612945e-11
36,1.8,-17.3790712047929,6.249933903745841e-10,5.489109167200468e-11,-0.24211714598897635,96,1.4453993558295454e-12,1.6425194538575665e-11
