step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,max_trunc,total_trunc
37,1.85,-17.379071204520066,8.978275900517474e-10,7.847911209779568e-11,-0.23776705334943316,96,2.2367663278671634e-12,2.35867991820203e-11
38,1.9000000000000001,-17.37907120415194,1.2659526760216977e-9,1.1095013796591502e-10,-0.23365463115055682,96,2.5682789231191696e-12,3.248035174457187e-11
39,1.9500000000000002,-17.379071203705806,1.7120882489507494e-9,1.5079071324919369e-10,-0.22976375535198737,96,3.113065361480374e-12,3.983546826253327e-11
40,2.0,-17.379071203123814,2.2940795929571323e-9,2.0349633089722374e-10,-0.22607713043635802,96,4.409805854634829e-12,5.2704951523471096e-11
41,2.0500000000000003,-17.37907120233679,3.0811051487944496e-9,2.7494073684408704e-10,-0.22257874080898807,96,5.935030246541227e-12,7.145462001563344e-11
42,2.1,-17.379071201342676,4.075218384969048e-9,3.6453551288673225e-10,-0.21925576718761067,96,6.771139207216732e-12,8.959566424947939e-11
43,2.15,-17.37907120009159,5.326302954244966e-9,4.779492357442905e-10,-0.21609989808290497,96,9.553469131213645e-12,1.1344825084103496e-10
44,2.2,-17.379071198440897,6.976996758112364e-9,6.28041618710995e-10,-0.2131080139375546,96,1.335509481573514e-11,1.501015979001442e-10
45,2.25,-17.379071196232644,9.185249894017034e-9,8.292839748236247e-10,-0.2102822659792244,96,1.7995049908696174e-11,2.0125645609048933e-10
46,2.3000000000000003,-17.37907119326889,1.2149005357287024e-8,1.0999641197884102e-9,-0.20762961059375717,96,2.333033768594091e-11,2.7068491918273794e-10
47,2.35,-17.37907118931052,1.6107374989360324e-8,1.4613831256227172e-9,-0.2051608909407523,96,3.042122113799188e-11,3.6144209893225696e-10
48,2.4000000000000004,-17.379071184056578,2.136131627139548e-8,1.9390747896252947e-9,-0.202889579261711,96,4.0652259407957706e-11,4.776999914807348e-10
49,2.45,-17.37907117700302,2.8414874009285995e-8,2.576184710001428e-9,-0.2008303052999216,96,5.6765592358982256e-11,6.371310160399102e-10
50,2.5,-17.379071167485236,3.7932657903638756e-8,3.428056505327959e-9,-0.1989972986496614,96,7.872280629534845e-11,8.518813457800718e-10
51,2.5500000000000003,-17.379071154874534,5.054335971976798e-8,4.541116704892545e-9,-0.19740286650421524,96,1.0287692962032652e-10,1.1130771903744059e-9
52,2.6,-17.379071138628568,6.678932606973831e-8,5.9534006613404244e-9,-0.19605601451231391,96,1.2310308394885484e-10,1.4122898479807124e-9
53,2.6500000000000004,-17.379071118574217,8.684367713840402e-8,7.688841563435744e-9,-0.19496129902266315,96,1.322141294982877e-10,1.7354595655924927e-9
54,2.7,-17.37907109357376,1.1184413395426418e-7,9.868875605612004e-9,-0.19411797582332177,96,1.618070137483949e-10,2.1800403894498895e-9
55,2.75,-17.37907106117395,1.4424394478851355e-7,1.2707588870064512e-8,-0.19351948554986653,96,2.0707680264652248e-10,2.838729616545501e-9
56,2.8000000000000003,-17.379071018608236,1.8680965752082557e-7,1.6440644401427562e-8,-0.19315329086155483,96,2.7658664670936715e-10,3.733059471151099e-9
57,2.85,-17.379070962689593,2.4272830145832813e-7,2.1344513378984686e-8,-0.19300105723915628,96,3.6980241825228744e-10,4.903865960884858e-9
58,2.9000000000000004,-17.379070890055644,3.1536225009176633e-7,2.7704903260428182e-8,-0.19303914886951964,96,4.823137569235279e-10,6.360398140879573e-9
59,2.95,-17.3790707975715,4.0784639310231796e-7,3.578956397909394e-8,-0.1932393945357822,96,6.181598772374193e-10,8.084676738580821e-9
60,3.0,-17.37907068139952,5.24018375358537e-7,4.5935583337097796e-8,-0.1935700662561809,96,7.850641584606931e-10,1.0146031648945234e-8
