step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,max_trunc,total_trunc
42,2.1,-17.37907101929506,1.8612283270158514e-7,1.522965498157447e-8,-0.21925574994030997,64,2.5358870919796484e-10,3.2939973416128936e-9
43,2.15,-17.379070966579633,2.388382611684392e-7,1.9553136332284282e-8,-0.21609987263373595,64,3.3488346041017156e-10,4.323504962156334e-9
44,2.2,-17.379070898894497,3.065233968868597e-7,2.5184827223689865e-8,-0.21310797827897274,64,3.980865730748067e-10,5.631713776161949e-9
45,2.25,-17.379070813477043,3.9194085132976397e-7,3.238948176331746e-8,-0.2102822181921572,64,4.770534112270551e-10,7.20467239828112e-9
46,2.3000000000000003,-17.379070703578503,5.018393913758246e-7,4.174570333859151e-8,-0.20762954896091299,64,6.267517860345294e-10,9.35623379930038e-9
47,2.35,-17.379070560482994,6.449349001513838e-7,5.400867197913328e-8,-0.20516081414475137,64,8.50269453285497e-10,1.226299575827543e-8
48,2.4000000000000004,-17.379070373316978,8.321009161704751e-7,7.010828917408674e-8,-0.2028894867442769,64,1.0886880997643353e-9,1.6099618076659032e-8
49,2.45,-17.379070131165822,1.0742520721862547e-6,9.088781183219652e-8,-0.20083019770741858,64,1.41518342031608e-9,2.0779522654823484e-8
50,2.5,-17.379069820335538,1.3850823563643644e-6,1.174451595975512e-7,-0.19899717820360008,64,1.827741486070292e-9,2.6557357175486687e-8
51,2.5500000000000003,-17.379069426704305,1.7787135888625016e-6,1.5079768966863583e-7,-0.1974027373751618,64,2.2069603612755993e-9,3.3352543953451775e-8
52,2.6,-17.379068943229925,2.262187969392926e-6,1.9134801776399257e-7,-0.19605588322946255,64,2.6232151161963515e-9,4.0550339210083654e-8
53,2.6500000000000004,-17.379068347877308,2.857540586376217e-6,2.409782475787381e-7,-0.19496117504037014,64,3.397929374087799e-9,4.9630253470234595e-8
54,2.7,-17.3790676140432,3.5913746927462853e-6,3.0197651790242475e-7,-0.19411787236894726,64,4.3197711013902935e-9,6.099830788169113e-8
55,2.75,-17.379066724727934,4.480689959507345e-6,3.758391899921776e-7,-0.19351942045304307,64,5.29666675783632e-9,7.386269586962984e-8
56,2.8000000000000003,-17.379065668120006,5.53729788776991e-6,4.6367684269910114e-7,-0.19315328729306713,64,6.378192542029937e-9,8.783769659036013e-8
57,2.85,-17.379064418949824,6.786468070174578e-6,5.676320657954648e-7,-0.19300114451569286,64,7.643004551559282e-9,1.0395526597820745e-7
58,2.9000000000000004,-17.379062931407947,8.27400994651839e-6,6.912326394603596e-7,-0.1930393634142904,64,9.041827090553497e-9,1.2360066482429678e-7
59,2.95,-17.37906114527935,1.006013854265575e-5,8.39199296276405e-7,-0.19323978093092473,64,1.0641776808771382e-8,1.479667843411276e-7
60,3.0,-17.37905898249228,1.2222925615645863e-5,1.017925721380486e-6,-0.1935706781281424,64,1.2596919663797427e-8,1.7872659566365222e-7
