step,t,energy,dE,norm_sq,one_minus_norm_sq,m_stag,max_chi
0,0.0,-9.979567067723895,0.0,0.9999999999999988,1.2212453270876722e-15,-0.18663205246998635,64
10,0.5,-9.979567067724028,-1.3322676295501878e-13,1.0000000000000104,-1.0436096431476471e-14,-0.24665297840571215,64
20,1.0,-9.979567067723966,-7.105427357601002e-14,0.9999999999999967,3.3306690738754696e-15,-0.3017797744079819,64
30,1.5,-9.97956706772402,-1.2434497875801753e-13,1.000000000000004,-3.9968028886505635e-15,-0.27306057027243075,64
40,2.0,-9.979567067723544,3.517186542012496e-13,0.9999999999999525,4.75175454539567e-14,-0.24404744805780781,64
