step,t,energy,dE,norm_sq,one_minus_norm_sq,m_stag,max_chi,max_trunc,total_trunc
0,0.0,-11.459086467033611,0.0,1.0000000000000007,-6.661338147750939e-16,-0.1888321559769648,64,0.0,0.0
10,0.5,-11.459086467034712,-1.1013412404281553e-12,1.0000000000000595,-5.950795411990839e-14,-0.2506122132664946,64,1.998401444325171e-15,2.66453525910023e-15
20,1.0,-11.459086467031291,2.319922032256727e-12,0.9999999999993221,6.779021788361206e-13,-0.3063697495840083,64,4.7406523151520154e-14,2.4669155607184176e-13
