step,t,energy,dE,one_minus_norm_sq,m_stag,max_chi,min_schmidt_tail,max_schmidt_tail
0,0.0,-8.501141027146,0.0,-8.882e-16,-0.183164779357,32,4.885e-17,5.418e-01
1,0.050000,-8.501141019179,7.967e-09,9.364e-10,-0.183895685378,32,NaN,NaN
2,0.100000,-8.501141019179,7.967e-09,9.364e-10,-0.186067233184,32,NaN,NaN
3,0.150000,-8.501141019179,7.967e-09,9.364e-10,-0.189616648543,32,NaN,NaN
4,0.200000,-8.501141019179,7.967e-09,9.364e-10,-0.194441741267,32,NaN,NaN
5,0.250000,-8.501141019179,7.967e-09,9.364e-10,-0.200404461019,32,NaN,NaN
6,0.300000,-8.501141019179,7.967e-09,9.364e-10,-0.207335690772,32,NaN,NaN
7,0.350000,-8.501141019179,7.967e-09,9.363e-10,-0.215041099624,32,NaN,NaN
8,0.400000,-8.501141019179,7.967e-09,9.363e-10,-0.223307835274,32,NaN,NaN
9,0.450000,-8.501141019179,7.967e-09,9.363e-10,-0.231911802752,32,NaN,NaN
10,0.500000,-8.501141019179,7.967e-09,9.363e-10,-0.240625251068,32,1.574e-06,5.156e-01
11,0.550000,-8.501141019179,7.967e-09,9.363e-10,-0.249224374619,32,NaN,NaN
12,0.600000,-8.501141019179,7.967e-09,9.364e-10,-0.257496633707,32,NaN,NaN
13,0.650000,-8.501141019179,7.967e-09,9.364e-10,-0.265247508227,32,NaN,NaN
14,0.700000,-8.501141019179,7.968e-09,9.364e-10,-0.272306421170,32,NaN,NaN
15,0.750000,-8.501141019179,7.968e-09,9.364e-10,-0.278531603682,32,NaN,NaN
16,0.800000,-8.501141019179,7.968e-09,9.364e-10,-0.283813719722,32,NaN,NaN
17,0.850000,-8.501141019179,7.968e-09,9.364e-10,-0.288078124226,32,NaN,NaN
18,0.900000,-8.501141019179,7.968e-09,9.364e-10,-0.291285691664,32,NaN,NaN
19,0.950000,-8.501141019179,7.968e-09,9.364e-10,-0.293432218144,32,NaN,NaN
20,1.000000,-8.501141019179,7.968e-09,9.364e-10,-0.294546466106,32,2.336e-06,4.564e-01
